pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 76539.4	 105.315	 332785	 821.696	 0.733025	 0.00882198	 -1.18463e-05	 1.66983e-05	 0.0126682	 7.16632e-05	 0.0231323	 0.000209843	 0.359879	 0.000872314	 197.746	 103	 0.172872
27.5	 30	 52271.4	 88.3086	 244892	 699.558	 0.729458	 0.00973118	 3.35218e-05	 1.98035e-05	 0.0122029	 7.91876e-05	 0.0224257	 0.000219332	 0.358773	 0.000987201	 149.912	 103	 0.183412
30	 32.5	 36260.3	 73.9094	 178708	 595.973	 0.729098	 0.0110315	 -8.06352e-06	 2.34978e-05	 0.0118148	 8.91574e-05	 0.0217444	 0.000236474	 0.360723	 0.00117723	 133.792	 103	 0.191132
32.5	 35	 25543.1	 62.549	 131526	 514.422	 0.739075	 0.0132539	 2.24028e-05	 2.77266e-05	 0.0116179	 0.000104284	 0.0212916	 0.00028233	 0.365056	 0.00141826	 129.917	 103	 0.197949
35	 37.5	 18482.3	 54.5309	 99526.8	 458.336	 0.749143	 0.0142645	 -7.589e-06	 3.21466e-05	 0.0113243	 0.000115204	 0.0210523	 0.000316665	 0.36246	 0.00165203	 144.491	 103	 0.205043
37.5	 40	 13584.6	 47.0748	 75227.6	 398.953	 0.780219	 0.0148606	 -5.33728e-06	 3.71391e-05	 0.0112471	 0.000119566	 0.0212961	 0.000393499	 0.363687	 0.00193956	 171.13	 103	 0.209733
40	 42.5	 10077.7	 40.4726	 58085.6	 339.026	 0.747454	 0.0183799	 1.14237e-07	 4.27032e-05	 0.0108905	 0.000142581	 0.0201761	 0.000378903	 0.35657	 0.00210513	 156.818	 103	 0.215982
42.5	 45	 7607.85	 35.7911	 45235	 311.597	 0.779827	 0.0180147	 1.67972e-05	 4.83797e-05	 0.0106897	 0.000145585	 0.0206006	 0.000462218	 0.357852	 0.00245969	 120.492	 103	 0.221359
45	 47.5	 5814.35	 31.4039	 34848.7	 274.122	 0.794804	 0.0182325	 8.97277e-05	 5.52052e-05	 0.010672	 0.000152923	 0.0209152	 0.000522036	 0.360104	 0.00285938	 95.7604	 103	 0.222501
47.5	 50	 4492.72	 27.5505	 27438.3	 242.734	 0.805691	 0.0197695	 0.000105794	 6.22574e-05	 0.0105262	 0.000162484	 0.020609	 0.000580807	 0.362134	 0.00324545	 126.468	 103	 0.225533
50	 55	 3137.63	 16.6821	 19696.9	 148.936	 0.829481	 0.0171879	 9.23006e-06	 5.16466e-05	 0.0104365	 0.00014206	 0.0209701	 0.00061643	 0.360851	 0.0026993	 171.646	 103	 0.230912
55	 60	 1969.82	 13.1612	 12906.7	 119.707	 0.809459	 0.0194272	 -6.02247e-05	 6.49683e-05	 0.0100395	 0.00015947	 0.0198115	 0.000552782	 0.354066	 0.00325937	 90.6601	 103	 0.238447
60	 65	 1300.75	 10.7568	 8466.72	 97.2087	 0.836749	 0.021505	 8.80556e-05	 7.78268e-05	 0.00987517	 0.000181737	 0.0201101	 0.000759942	 0.359045	 0.00415887	 104.408	 103	 0.237208
65	 70	 871.214	 9.86614	 5829.13	 84.8082	 0.737115	 0.0418982	 8.21949e-05	 9.46795e-05	 0.00890666	 0.000323426	 0.0171263	 0.000689042	 0.358756	 0.00506467	 130.133	 103	 0.241717
70	 75	 606.473	 7.48986	 4073.12	 69.3343	 0.826929	 0.0254356	 -5.0257e-05	 0.00011081	 0.00912944	 0.000220084	 0.0190394	 0.000804112	 0.358553	 0.00613861	 93.6155	 103	 0.24289
75	 80	 421.952	 6.35075	 2890.53	 59.6353	 0.826119	 0.0395898	 -4.58067e-05	 0.00013046	 0.00910868	 0.000312197	 0.0183653	 0.00114239	 0.347926	 0.00695249	 107.624	 103	 0.245621
80	 90	 258.894	 3.66782	 1805.75	 33.7571	 0.799429	 0.0362983	 0.000113706	 0.000116676	 0.00855385	 0.000286216	 0.0175263	 0.000878976	 0.350835	 0.0064804	 138.566	 103	 0.248515
90	 100	 138.489	 2.53102	 987.425	 24.1334	 0.850489	 0.0316476	 2.44485e-05	 0.000155893	 0.00868478	 0.00027324	 0.0187151	 0.00115561	 0.343829	 0.00837441	 123.673	 103	 0.253085
100	 120	 64.9997	 1.28896	 456.189	 12.0149	 0.855323	 0.0321502	 0.000141273	 0.000159471	 0.00844489	 0.000291348	 0.0187449	 0.00127948	 0.325814	 0.0080688	 99.2457	 103	 0.249738
