pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 190467	 157.798	 824404	 1078.08	 0.751	 0	 3.08e-05	 0	 0.0127537	 1.41892e-05	 0.023697	 2.5314e-05	 0.360535	 0.000533438	 358.342	 105	 0.172234
27.5	 30	 128808	 132.165	 601190	 940.034	 0.751	 0	 3.08e-05	 0	 0.012338	 1.68952e-05	 0.0229084	 2.88397e-05	 0.359408	 0.000627266	 281.485	 105	 0.182938
30	 32.5	 88587.5	 111.255	 435914	 810.467	 0.751	 0	 3.08e-05	 0	 0.0119347	 1.97913e-05	 0.0222718	 3.27273e-05	 0.360964	 0.000748647	 217.616	 105	 0.190876
32.5	 35	 62012.4	 94.6006	 319026	 704.005	 0.751	 0	 3.08e-05	 0	 0.0116057	 2.32695e-05	 0.0216357	 3.73512e-05	 0.363202	 0.000890924	 209.691	 105	 0.197737
35	 37.5	 44077.2	 80.6209	 236808	 615.431	 0.751	 0	 3.08e-05	 0	 0.0113112	 2.69949e-05	 0.0211449	 4.26691e-05	 0.360286	 0.0010287	 159.605	 105	 0.204461
37.5	 40	 31894.8	 69.3865	 176311	 538.402	 0.751	 0	 3.08e-05	 0	 0.0109633	 3.08633e-05	 0.0206343	 4.82783e-05	 0.363024	 0.00122068	 162.334	 105	 0.209204
40	 42.5	 23189.9	 59.8649	 133039	 474.118	 0.751	 0	 3.08e-05	 0	 0.0107643	 3.59589e-05	 0.0201118	 5.47983e-05	 0.35759	 0.00137909	 144.792	 105	 0.215082
42.5	 45	 17053.5	 52.2847	 100821	 421.47	 0.751	 0	 3.08e-05	 0	 0.0103746	 4.08367e-05	 0.0198691	 6.51824e-05	 0.356815	 0.00159275	 138.511	 105	 0.22005
45	 47.5	 12576.9	 44.4034	 75535.7	 363.618	 0.751	 0	 3.08e-05	 0	 0.0103208	 4.71853e-05	 0.019429	 7.57036e-05	 0.356567	 0.00185316	 126.614	 105	 0.222648
47.5	 50	 9464.77	 39.0881	 57296.2	 324.138	 0.751	 0	 3.08e-05	 0	 0.00992726	 5.37758e-05	 0.0190898	 7.93425e-05	 0.36169	 0.00220995	 126.873	 105	 0.224198
50	 55	 6316.04	 22.8037	 38685.9	 190.635	 0.751	 0	 3.08e-05	 0	 0.00962255	 4.55965e-05	 0.0187006	 6.75095e-05	 0.359921	 0.00190097	 173.348	 105	 0.226271
55	 60	 3650.1	 17.7737	 23015.7	 147.17	 0.751	 0	 3.08e-05	 0	 0.00944066	 5.80851e-05	 0.0180204	 8.58874e-05	 0.353987	 0.00241548	 111.771	 105	 0.231147
60	 65	 2227.8	 14.2261	 13949.8	 117.388	 0.751	 0	 3.08e-05	 0	 0.00896351	 7.29618e-05	 0.0173768	 0.000104468	 0.359218	 0.00323438	 141.337	 105	 0.229974
65	 70	 1386.04	 11.697	 8760.91	 96.5145	 0.751	 0	 3.08e-05	 0	 0.00860458	 9.35069e-05	 0.0167296	 0.000123724	 0.354047	 0.00407654	 124.247	 105	 0.231308
70	 75	 891.282	 9.22938	 5560.91	 75.4429	 0.751	 0	 3.08e-05	 0	 0.00835758	 0.000110381	 0.016335	 0.000157771	 0.358058	 0.00523806	 124.101	 105	 0.228773
75	 80	 572.853	 7.36828	 3569.33	 60.198	 0.751	 0	 3.08e-05	 0	 0.00815993	 0.000131821	 0.0159395	 0.000193628	 0.358973	 0.00663477	 130.655	 105	 0.228445
80	 90	 325.313	 4.19323	 2082.9	 34.7175	 0.751	 0	 3.08e-05	 0	 0.00759969	 0.000124567	 0.0153336	 0.000173478	 0.351579	 0.00611654	 133.505	 105	 0.233417
90	 100	 155.202	 2.83324	 1026	 24.4817	 0.751	 0	 3.08e-05	 0	 0.00737482	 0.000164981	 0.0145969	 0.000261306	 0.32524	 0.00771865	 122.053	 105	 0.238555
100	 120	 64.472	 1.37434	 398.258	 10.9672	 0.751	 0	 3.08e-05	 0	 0.00693206	 0.000187016	 0.0135567	 0.000246374	 0.317867	 0.00864674	 112.272	 105	 0.225304
